project_id,name,state,district,project_type,land_area_hectares,affected_families,compensation_percentage,approval_delay_days,legal_disputes_count,documentation_complete,notification_complete,possession_percentage,rehabilitation_percentage,stakeholder_responsiveness,historical_district_delay_score,current_stage,actual_delay_days,delayed_flag
LA-JH-2026-0042,Ranchi-Jamshedpur 4-Lane Industrial Expressway Corridor (NH-33 Extension),Jharkhand,Ranchi,Highways & Expressways,450.0,620,29.0,68,4,False,True,22.0,18.0,Low,7.4,Compensation Disbursement,74,1
LA-MA-2026-0043,Pune Bypass 6-Lane Expressway Expansion,Maharashtra,Pune,Highways & Expressways,127.2,170,76.6,22,0,True,True,80.2,51.3,High,4.1,Final Acquisition Complete,4,0
LA-MA-2026-0044,Jabalpur Multimodal Logistics Hub & Industrial Township,Madhya Pradesh,Jabalpur,Industrial Corridors & SEZ,424.8,344,46.9,43,5,True,True,13.7,19.8,Low,6.1,Rehabilitation & Resettlement (R&R),114,1
LA-MA-2026-0045,Nashik Ring-Rail & Transit Oriented Development,Maharashtra,Nashik,Urban Metros & Smart Cities,703.4,1342,39.8,58,0,True,True,21.6,19.0,Medium,5.2,Compensation Disbursement,58,0
LA-TA-2026-0046,Coimbatore Multimodal Logistics Hub & Industrial Township,Tamil Nadu,Coimbatore,Industrial Corridors & SEZ,740.7,623,2.5,40,1,False,True,0.0,0.0,High,3.6,Notification (Sec 11),96,1
LA-TA-2026-0047,Chennai Block-IV Mineral Extraction & Processing Node,Tamil Nadu,Chennai,Mining & Coal Exploration,272.9,651,4.7,25,2,False,True,0.0,0.0,High,4.4,Notification (Sec 11),102,1
LA-UT-2026-0048,Varanasi Multi-Village Barrage & Micro-Irrigation Canal,Uttar Pradesh,Varanasi,Irrigation & Water Reservoirs,450.3,1123,57.1,64,1,True,True,40.2,58.1,High,6.0,Rehabilitation & Resettlement (R&R),76,0
LA-GU-2026-0049,Rajkot Bypass 6-Lane Expressway Expansion,Gujarat,Rajkot,Highways & Expressways,826.0,1300,9.6,27,1,True,True,0.0,0.0,Medium,4.5,Notification (Sec 11),62,1
LA-AN-2026-0050,Vijayawada Ring-Rail & Transit Oriented Development,Andhra Pradesh,Vijayawada,Urban Metros & Smart Cities,740.5,596,86.2,19,0,True,True,91.1,76.5,Medium,4.5,Final Acquisition Complete,4,0
LA-MA-2026-0051,Thane Bypass 6-Lane Expressway Expansion,Maharashtra,Thane,Highways & Expressways,1056.7,2529,27.0,65,1,True,True,1.0,15.2,High,6.7,Objection / Legal Hearing (Sec 15),99,1
LA-GU-2026-0052,Surat Multimodal Logistics Hub & Industrial Township,Gujarat,Surat,Industrial Corridors & SEZ,493.8,910,41.5,7,2,True,True,6.8,5.0,High,3.7,Compensation Assessment,23,0
LA-OD-2026-0053,Bhubaneswar Bypass 6-Lane Expressway Expansion,Odisha,Bhubaneswar,Highways & Expressways,108.3,105,38.9,70,1,False,True,15.3,61.8,High,4.5,Compensation Disbursement,114,1
LA-MA-2026-0054,Nashik Bypass 6-Lane Expressway Expansion,Maharashtra,Nashik,Highways & Expressways,96.2,188,1.6,34,0,True,True,0.0,0.0,High,5.5,Notification (Sec 11),47,0
